
1 2 3 4 5 6 7 8 
9 10 11 12 13 14 15 16 
17 18 19 20 21 22 23 24 
25 26 27 28 29 30 31 32 
33 34 35 36 37 38 39 40 
41 42 43 44 45 46 47 48 
49 50 51 52 53 54 55 56 
57 58 59 60 61 62 63 0 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 8 46 47 48 
55 34 5 22 53 50 54 10 
21 58 59 60 61 1 0 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 8 46 47 48 
55 34 5 22 53 50 0 10 
21 58 59 60 61 1 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 8 46 47 48 
55 34 5 22 53 0 50 10 
21 58 59 60 61 1 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 8 46 47 48 
55 34 5 22 53 1 50 10 
21 58 59 60 61 0 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 8 46 47 48 
55 34 5 22 53 1 50 10 
21 58 59 60 0 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 8 46 47 48 
55 34 5 22 0 1 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 0 46 47 48 
55 34 5 22 8 1 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 46 0 47 48 
55 34 5 22 8 1 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 46 1 47 48 
55 34 5 22 8 0 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 46 1 47 48 
55 34 5 22 0 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 37 45 39 40 
41 42 24 57 0 1 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 0 45 39 40 
41 42 24 57 37 1 47 48 
55 34 5 22 46 8 50 10 
21 58 59 60 53 61 54 2 

20 63 12 4 11 6 52 32 
9 38 13 3 56 62 49 16 
15 18 23 44 26 36 19 31 
29 17 27 28 25 30 43 51 
33 14 35 7 45 0 39 40 
41 42 24 57 37 1 47 48 
55 34 5 22 46 8 50 10 
